"Year","State","District","Village","pH","EC","P","K","Ca","Mg","S","Zn","B","Fe","Cu","Mn","C","Lon","Lat","soil_type"
2016,"Andhra Pradesh","YSR Kadapa","Seetharamapuram",0,0,10.3,265.45,2490.35,638.15,7.87,17.8,2.28,9.9,1.62,14.76,0.836,79.1858611107,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Seetharamapuram",8,0.348,6.217,281.45,2165.75,650.4,33.111,0.34,1.3,11.5,1.94,5.42,0.351,79.1669722226,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Mm Palli",8.17,0.17,24.26,518.55,2330.1,765.6,5.191,0.66,1.1,7.54,1.48,15.56,0.573,79.1508138885,14.1333333337,""
2016,"Andhra Pradesh","YSR Kadapa","Mm Palli",8.05,0.231,7.187,276.3,2260.85,791.15,5.957,0.7,1.42,9.98,1.98,13.46,0.482,79.1520555554,14.1499999997,""
2016,"Andhra Pradesh","YSR Kadapa","Mm Palli",8.03,0.179,10.499,262.9,2319.5,306.65,5.996,0.48,0.84,8.42,1.48,12.16,0.292,79.1517777782,14.1499999997,""
2016,"Andhra Pradesh","YSR Kadapa","N.R.Puram",8.86,0.19,5.054,98.3,1183.5,167.45,7.937,0.32,0.52,7.98,0.84,11.66,0.276,79.2510777781,14.3333333333,""
2016,"Andhra Pradesh","YSR Kadapa","N.R.Puram",8.24,0.173,4.317,83.75,926.65,136.45,6.503,0.32,0.58,7.5,0.7,11.44,0.273,79.2510916663,14.3333333333,""
2016,"Andhra Pradesh","YSR Kadapa","Indlur",8.21,0.181,4.468,83.3,903.1,139.7,6.658,0.36,0.68,8.04,0.7,12.5,0.188,79.2670416662,14.2833333334,""
2016,"Andhra Pradesh","YSR Kadapa","Indlur",8.13,0.183,4.412,81.4,928.75,135.35,7.073,0.34,0.6,7.76,0.68,13.38,0.275,79.2670111109,14.2833333334,""
2016,"Andhra Pradesh","YSR Kadapa","Indlur",8.17,0.163,4.344,76.55,810.8,128.35,5.886,0.36,0.42,7.2,0.6,13.66,0.258,79.2669944446,14.2833333334,""
2016,"Andhra Pradesh","YSR Kadapa","Itamarpuram",8.14,0.179,4.493,76,812.25,128.2,5.208,0.34,0.38,7.42,0.66,13.52,0.254,79.2678555554,14.2666666664,""
2016,"Andhra Pradesh","YSR Kadapa","Itamarpuram",8.13,0.205,4.478,86.3,1045.35,149.95,6.855,7.22,0.46,7.76,0.76,13.1,0.259,79.2678027778,14.2666666664,""
2016,"Andhra Pradesh","YSR Kadapa","Itamarpuram",8.23,0.238,5.522,117.85,1564.85,212.85,10.18,0.26,0.66,7.86,1.04,11.46,0.317,79.267738889,14.2666666664,""
2016,"Andhra Pradesh","YSR Kadapa","Singanamala",8.22,0.221,5.194,101.45,1313.5,175,9.003,0.32,0.52,6.8,0.78,12.12,0.317,79.2510361107,14.2666666664,""
2016,"Andhra Pradesh","YSR Kadapa","Singanamala",8.19,0.233,4.913,99.15,1258.05,176.95,17.21,0.32,0.36,8.78,0.94,12.84,0.291,79.2510305556,14.2666666664,""
2016,"Andhra Pradesh","YSR Kadapa","Ambavaram",8.74,0.255,2.313,365,4116.55,774.05,22.254,0.12,2.92,3.34,0.68,6.16,0.223,78.7175444441,14.5182000001,""
2016,"Andhra Pradesh","YSR Kadapa","Ambavaram",9.16,0.15,1.644,147.35,2747.45,262.7,4.935,0.06,2.94,1.68,0.28,5.34,0.171,78.7181499999,14.5187055558,""
2016,"Andhra Pradesh","YSR Kadapa","Ambavaram",8.65,0.197,5.026,250.95,3108.65,530.8,9.283,0.08,3.26,6.24,0.64,4.9,0.229,78.7175750004,14.5190916662,""
2016,"Andhra Pradesh","YSR Kadapa","G tur",8.5,0.424,12.852,165.95,2160.15,401.8,21.497,0.32,3.76,12.12,1.3,5.78,0.457,78.750527778,14.5505805553,""
2016,"Andhra Pradesh","YSR Kadapa","G tur",8.35,0.892,30.159,316.5,1829.75,256.85,91.905,0.54,4.06,11.06,0.8,6.88,0.338,78.7351722219,14.5525333333,""
2016,"Andhra Pradesh","YSR Kadapa","G tur",8.47,0.249,5.218,198.2,1819.25,282.6,12.255,0.1,3.4,3.62,0.56,11.78,0.214,78.7340888887,14.5513666662,""
2016,"Andhra Pradesh","YSR Kadapa","Ambavaram",8.09,0.235,10.532,150.85,2170.65,180,7.199,0.54,2.92,6.3,1,6.46,0.478,78.6843388886,14.5011972224,""
2016,"Andhra Pradesh","YSR Kadapa","Ambavaram",8.25,0.171,7.058,122.9,2444.9,202.55,7.479,0.3,4.14,4.72,0.74,7.74,0.389,78.6848916668,14.501255556,""
2016,"Andhra Pradesh","YSR Kadapa","Ambavaram",7.41,0.171,16.853,160.3,1662.6,299,6.192,0.34,3.32,5.2,0.78,1.96,0.622,78.7008888892,14.5010055553,""
2016,"Andhra Pradesh","YSR Kadapa","Thripuravaram",7.98,1.118,45.412,256.5,2551,592.1,94.773,0.44,1.7,14.22,1.56,11.78,0.61,78.7021277782,14.6178166666,""
2016,"Andhra Pradesh","YSR Kadapa","Thripuravaram",8.29,0.412,28.737,247.35,2348.6,574.55,37.451,0.44,2.16,18.72,1.92,11.1,0.601,78.702197222,14.6179777775,""
2016,"Andhra Pradesh","YSR Kadapa","Eturu",7.97,1.437,21.855,379.45,3775.15,1194.45,275.224,0.74,2.52,23.66,2.6,6.06,0.733,78.7172138893,14.6190111111,""
2016,"Andhra Pradesh","YSR Kadapa","Eturu",8.28,0.136,5.468,328.3,5154.05,606.55,5.908,0.16,0.9,8.52,0.98,7.32,0.464,78.7172222224,14.6190555556,""
2016,"Andhra Pradesh","YSR Kadapa","Eturu",8.43,0.187,4.455,311.65,4418.1,508.5,6.841,0.18,0.76,8.56,0.8,5.2,0.339,78.7172361116,14.6191194443,""
2016,"Andhra Pradesh","YSR Kadapa","Pathuru",6.8,0.268,7.866,149.5,1972.3,465.85,33.849,0.52,1.42,34.5,2.72,39.2,0.691,78.783777778,14.6357555559,""
2016,"Andhra Pradesh","YSR Kadapa","Pathuru",8.08,1.162,16.849,139.1,2168.55,433.05,189.247,2.28,1.58,30.46,2.16,10.12,0.585,78.7690305557,14.6348138892,""
2016,"Andhra Pradesh","YSR Kadapa","Pathuru",6.73,0.131,7.867,144.85,1933.75,467.1,13.673,0.36,1.56,33.24,2.6,42.06,0.672,78.7685027778,14.6348027781,""
2016,"Andhra Pradesh","YSR Kadapa","Pathuru",6.73,0.102,7.396,141.8,1940.1,468.9,13.238,0.32,1.52,31.62,2.6,36.88,0.69,78.7684694444,14.6346555555,""
2016,"Andhra Pradesh","YSR Kadapa","Pathuru",6.77,0.203,11.938,220.3,2040.4,520.25,25.149,0.56,2.1,36.52,3.18,51.92,0.985,78.7685055558,14.6345583334,""
2016,"Andhra Pradesh","YSR Kadapa","Pathuru",6.76,0.213,11.774,243.75,2210.95,580.3,25.267,0.54,2.14,36.5,3.2,52.3,1.057,78.7685027778,14.6343861114,""
2016,"Andhra Pradesh","YSR Kadapa","Pulluru",7.62,0.28,20.46,240.3,3280.7,596.05,15.799,0.44,1.98,31.1,3.56,6.52,0.947,78.7839944445,14.6510277781,""
2016,"Andhra Pradesh","YSR Kadapa","Pulluru",6.9,0.367,32.728,271.5,3072.65,860.6,25.871,0.74,1.6,53.02,3.34,17.52,0.752,78.7839694442,14.6510777777,""
2016,"Andhra Pradesh","YSR Kadapa","Pulluru",8.15,0.304,22.222,264.35,3589.65,964.35,18.889,0.36,1.28,14.76,1.86,7.12,0.667,78.7839861114,14.6511305553,""
2016,"Andhra Pradesh","YSR Kadapa","Dugganapalli",8.34,0.857,11.993,259.65,2993.75,538.5,79.925,0.16,2.084,10.62,1.38,9.88,0.51,78.7679444445,14.5507833336,""
2016,"Andhra Pradesh","YSR Kadapa","Dugganapalli",7.89,0.334,42.725,371.7,2527.3,385.15,18.766,0.42,1.961,21.2,1.94,8.18,0.726,78.7675277778,14.550552778,""
2016,"Andhra Pradesh","YSR Kadapa","Dugganapalli",8.17,1.314,14.941,213.6,2864.35,501.7,162.354,0.2,2.313,12.02,1.44,10.94,0.486,78.767638889,14.550552778,""
2016,"Andhra Pradesh","YSR Kadapa","Chennur",8.25,0.279,30.161,198.5,2966.2,559.15,23.478,3.26,1.246,24.32,1.98,6.8,0.529,78.7845888892,14.5509416664,""
2016,"Andhra Pradesh","YSR Kadapa","Chennur",8.11,0.342,18.079,167.6,2607.95,555.65,29.762,1,1.518,17.68,2.34,8.22,0.654,78.7849194449,14.5506833335,""
2016,"Andhra Pradesh","YSR Kadapa","Chennur",8.34,0.279,29.401,183,2724.05,533.2,22.573,2.74,1.246,24.58,1.98,6.72,0.556,78.7849416662,14.5507166668,""
2016,"Andhra Pradesh","YSR Kadapa","Rachinaya Palli",8.04,1.172,19.677,388.75,3672.65,871,103.736,0.42,1.956,15.94,2.18,9.18,0.597,78.8169444441,14.5172416664,""
2016,"Andhra Pradesh","YSR Kadapa","Rachinaya Palli",8.06,0.782,19.685,359,3261.05,638.35,61.27,0.44,1.509,13.98,1.72,10.04,0.642,78.8016305554,14.5172666666,""
2016,"Andhra Pradesh","YSR Kadapa","Upparapalli",8.03,0.164,25.52,138.55,1848.7,533.85,4.9,1.36,1.12,7.7,1.3,8.06,0.453,79.3839722219,13.9025833334,""
2016,"Andhra Pradesh","YSR Kadapa","Upparapalli",7.55,0.129,20.621,151.7,918.9,261.85,5.354,2.1,0.547,7.72,1.14,13.54,0.347,79.3839166663,13.9167777775,""
